name,id
Pinot Noir,4
Colorino,103230
Neuburger,10720
Syrah-Grenache-Viognier,54908
Karasakiz,8782
Corvina,6406
Listán Negro,51796
Jacquez,55292
Portuguese Rosé,11592
Mavroudi,28320
Sauvignon Musqué,30848
Pinot Grigio,376
Parraleta,116516
Carineña,23892
Trebbiano di Lugana,73534
Chasselas,10882
Okuzgozu,31596
Ansonica,88287
Malbec Blend,68337
Vernaccia,88
Manzoni,2102
Madeleine Angevine,27399
Malbec-Tempranillo,91423
Jaen,19717
Malbec-Syrah,5949
Syrah,117
Vranec,16467
Tinta Fina,2534
Moscatel Graúdo,42463
Tempranillo-Syrah,79526
Aragonez,3049
Melnik,11150
Pallagrello Bianco,12346
Favorita,113053
Jampal,101362
Malbec-Cabernet Sauvignon,4784
Chardonnay-Riesling,56716
Lambrusco di Sorbara,2444
Greco,956
Cabernet Franc-Merlot,4918
Franconia,91085
Alvarelhão,23091
Shiraz-Cabernet,20017
Verdicchio,808
Tannat-Cabernet Franc,33051
Rufete,21356
Nerello Mascalese,13
Saperavi,4048
Rieslaner,2299
Zibibbo,1349
Touriga Nacional,79
St. Vincent,100078
Verdosilla,44845
Tinta Roriz,2792
Pallagrello,4996
Syrah-Mourvèdre,5307
Argaman,12102
Symphony,7077
Tintilia,113278
Alicante Bouschet,6528
Grechetto,4795
Chardonnay-Albariño,111845
Nero di Troia,2411
Cabernet Sauvignon,10
Cabernet Franc-Lemberger,111277
Posip,8275
Gamza,109985
Shiraz-Tempranillo,87123
Grenache-Syrah,2885
Prosecco,315
Claret,1659
Schwartzriesling,63249
Sangiovese Grosso,182
Códega do Larinho,41661
Roussanne-Marsanne,31190
Thrapsathiri,33080
Muscat d'Alexandrie,19700
Malbec-Merlot,1944
País,9139
Tamianka,68340
Marzemino,9879
Touriga,26818
Asprinio,5961
Sangiovese-Syrah,32800
Cabernet Sauvignon-Merlot-Shiraz,24646
Picolit,12871
Muscadelle,346
Gelber Traminer,83924
Cabernet-Shiraz,59977
Mantonico,11628
Folle Blanche,67671
Premsal,101010
Viognier-Marsanne,71924
Cabernet Merlot,2956
Montepulciano,234
Früburgunder,864
Syrah-Tempranillo,19083
Touriga Nacional Blend,2652
Blauburgunder,33796
Portuguese Sparkling,927
Touriga Franca,12832
Catalanesca,108036
Petit Verdot,51
Cercial,7720
Tannat,1332
Merlot-Petite Verdot,106954
Mourvèdre,1374
Frappato,6
Tinta del Toro,19766
Rosenmuskateller,26404
Pinot Noir-Syrah,45451
Mencía,438
Biancolella,46603
Irsai Oliver,22970
Friulano,270
Raboso,9137
Misket,65157
Provence red blend,1330
Timorasso,19794
Kotsifali,116303
Palomino,5627
Garganega,368
Grenache-Mourvèdre,18390
Tinto Velasco,29930
Poulsard,23136
Mansois,14043
Meritage,19
Cabernet Sauvignon-Sangiovese,1435
Moscato Rosa,85693
Vespolina,36922
Carmenère,80
Cabernet Sauvignon-Carmenère,761
Karalahna,96937
Sauvignon,175
Babosa Negro,113067
Silvaner-Traminer,80811
Cinsault,911
Primitivo,38
Tinta Madeira,105081
Falanghina,1350
Morillon,12809
Xinomavro,7679
Merlot-Tannat,11049
Cabernet,17869
Sämling,10872
Semillon-Sauvignon Blanc,1666
Malbec-Cabernet Franc,1992
Zierfandler,435
Petit Meslier,63460
Doña Blanca,32235
Rhône-style Red Blend,149
Marsanne-Roussanne,1198
Biancale,88160
Grenache,238
Chardonnay-Semillon,6312
Ramisco,107854
Assyrtiko,2185
Cabernet Sauvignon-Barbera,19126
Black Monukka,76095
Malvasia Istriana,12419
